rating,weight,title,minplayers,maxplayers,link,rank,bg_id,maxplaytime,minplaytime
7.14154,2.3393,Battle For Souls,1,4,http://www.boardgamegeek.com/boardgame/123160,469,123160,60,60
7.10224,2.1929,Valley of the Kings,2,4,http://www.boardgamegeek.com/boardgame/150999,471,150999,45,45
6.96711,1.6677,Red7,2,4,http://www.boardgamegeek.com/boardgame/161417,475,161417,30,5
7.12039,2.28,Kashgar: Merchants of the Silk Road,2,4,http://www.boardgamegeek.com/boardgame/143175,483,143175,45,45
6.53479,2.0333,New Haven,2,4,http://www.boardgamegeek.com/boardgame/146158,486,146158,60,60
6.75708,2.4359,Fealty,2,4,http://www.boardgamegeek.com/boardgame/96704,496,96704,30,15
6.55927,2.0287,Clans,2,4,http://www.boardgamegeek.com/boardgame/4636,327,4636,30,30
7.41745,2.609,Neuroshima Hex! 3.0,1,4,http://www.boardgamegeek.com/boardgame/21241,14,21241,30,30
6.96579,1.779,Star Wars: Epic Duels,2,6,http://www.boardgamegeek.com/boardgame/3284,345,3284,30,30
6.57772,2.4034,GOSU,2,4,http://www.boardgamegeek.com/boardgame/66587,354,66587,45,45
7.42921,1.9262,Carcassonne,2,5,http://www.boardgamegeek.com/boardgame/822,18,822,45,30
7.20028,2.2634,Carcassonne: The City,2,4,http://www.boardgamegeek.com/boardgame/12902,23,12902,45,30
7.13814,1.9185,Carcassonne: Hunters and Gatherers,2,5,http://www.boardgamegeek.com/boardgame/4390,31,4390,45,30
6.70884,2.2929,Puzzle Strike,2,4,http://www.boardgamegeek.com/boardgame/67928,359,67928,20,20
6.94298,2.3145,Seeland,2,4,http://www.boardgamegeek.com/boardgame/63759,361,63759,60,45
6.94198,1.0,Flicochet,2,6,http://www.boardgamegeek.com/boardgame/65565,366,65565,20,20
6.67686,2.0227,Trollhalla,2,4,http://www.boardgamegeek.com/boardgame/72478,369,72478,60,60
7.18198,2.2753,Taluva,2,4,http://www.boardgamegeek.com/boardgame/24508,37,24508,45,45
7.01123,2.373,Attika,2,4,http://www.boardgamegeek.com/boardgame/8051,38,8051,60,45
6.89396,1.7793,Roll Through the Ages: The Bronze Age,1,4,http://www.boardgamegeek.com/boardgame/37380,41,37380,45,30
7.0673,2.0846,Finca,2,4,http://www.boardgamegeek.com/boardgame/40628,42,40628,45,45
6.54592,1.8047,Mondo,1,4,http://www.boardgamegeek.com/boardgame/91523,388,91523,30,20
6.86001,1.7895,The Boss,2,4,http://www.boardgamegeek.com/boardgame/85005,390,85005,40,40
6.89424,2.3531,Hansa,2,4,http://www.boardgamegeek.com/boardgame/8989,44,8989,60,60
